ArticleNo|RawParagraph|Prediction
14.0|γ) Στο εκπαιδευτικό ερευνητικό έργο του ΙΝΕΠ περιλαμβάνονται:|Irrelevant
14.0|αα. Η συνεργασία με φορείς του Δημόσιου Τομέα, της  Αποκεντρωμένης Διοίκησης, της Τοπικής Αυτοδιοίκησης  και του ευρύτερου δημόσιου τομέα και ιδιαίτερα με τις  μονάδες εκπαίδευσης των φορέων αυτών, με στόχο την  ανίχνευση και καταγραφή εκπαιδευτικών αναγκών, τη  σχεδίαση και την υλοποίηση δράσεων επιμόρφωσης.|RespA
14.0|ββ. Η διαμόρφωση προτάσεων για την ανάπτυξη επιμορφωτικών δράσεων του ΙΝ.ΕΠ.|RespA
14.0|γγ. Η επιστημονική προετοιμασία, ο σχεδιασμός, η  παρακολούθηση εφαρμογής του και η αξιολόγηση επιμορφωτικών δράσεων του ΙΝ.ΕΠ., συμπεριλαμβανομένης  της αξιολόγησης του διδακτικού προσωπικού και των  επιμορφούμενων,|RespA
14.0|δδ. Η συμμετοχή του επιστημονικού προσωπικού στις  διαδικασίες πιστοποίησης των επιμορφωτικών προγραμμάτων και των επιμορφούμενων,|RespA
14.0|εε. Η σύνταξη προτάσεων μέτρων βελτίωσης της αποτελεσματικότητας των επιμορφωτικών δράσεων.|RespA
14.0|στστ. Η υποβολή προτάσεων για εκπόνηση ερευνών  και μελετών και για συμμετοχή σε αυτές.|RespA
14.0|ζζ. Η μελέτη, σχεδίαση και τυποποίηση μεθόδων και  διαδικασιών για τη συστηματική και αποτελεσματική  οργάνωση των πάσης φύσεως εργασιών εκπαίδευσης  και κατάρτισης του ΙΝ.ΕΠ.|RespA
14.0|ηη. Η σύνταξη προδιαγραφών για την ανάπτυξη εκπαιδευτικού υλικού και εκπαιδευτικού λογισμικού θθ. Η σχεδίαση και η πραγματοποίηση ερευνών και  μελετών σχετικών με την ανάπτυξη του ανθρώπινου  δυναμικού της δημόσιας διοίκησης, ιδιαίτερα όσον αφορά στην ανίχνευση εκπαιδευτικών αναγκών και στην  αξιολόγηση των επιμορφωτικών δράσεων.|RespA
14.0|2Β. Αρμοδιότητες Τμημάτων ΙΝ.ΕΠ.|Org
14.0|1. Τμήμα Συντονισμού ΙΝΕΠ:|Org
14.0|Στις αρμοδιότητες του Τμήματος αυτού υπάγονται:|Org
14.0|αα. Η σύνταξη του προγραμματισμού του ΙΝΕΠ σε  συνεργασία με το Σύμβουλο Επιστημονικού Έργου και  τους λοιπούς Υπευθύνους Σπουδών και Έρευνας του  Εκπαιδευτικού – ερευνητικού έργου, η παρακολούθηση  των διαδικασιών υλοποίησης και. τήρησης του χρονοδιαγράμματός του,|RespA
14.0|ββ. Η ευθύνη για την εξασφάλιση της ορθής διοίκησης, παρακολούθησης και ελέγχου της εκτέλεσης των  εκτελούμενων δράσεων του ΙΝΕΠ, ως προς το φυσικό  τους αντικείμενο,|RespA
14.0|γγ. Η διαμόρφωση προτάσεων προς το Διευθυντή του  ΙΝΕΠ για την ανάληψη νομικών και οικονομικών δεσμεύσεων των έργων που υλοποιούνται από το ΙΝΕΠ,|RespA
14.0|δδ. Η σύνταξη περιοδικών εκθέσεων και αναφορών  προόδου φυσικού αντικειμένου των υλοποιούμενων έργων αρμοδιότητος του ΙΝΕΠ και η προετοιμασία πληροφοριών και εκθέσεων, οποτεδήποτε ζητηθούν από  τις αρμόδιες αρχές.|RespA
14.0|εε. Η μέριμνα για την παροχή προς το Τμήμα Συγχρηματοδοτούμενων Προγραμμάτων όλων των αναγκαίων  στοιχείων για τη σύνταξη των Μηνιαίων και Τριμηνιαίων  απολογιστικών δελτίων των συγχρηματοδοτούμενων  έργων.|RespA
14.0|στστ. Η τήρηση του φακέλου με στοιχεία φυσικού  αντικειμένου, συμπεριλαμβανομένου του φακέλου εκπαιδευτικού υλικού, των υλοποιούμενων έργων του ΙΝΕΠ,  με παραστατικά και δικαιολογητικά στοιχεία φυσικού  αντικειμένου ανά υποέργο.|RespA
14.0|ζζ. Η τήρηση των σχετικών διατάξεων για την Πληροφόρηση και Δημοσιότητα των εκτελούμενων έργων  αρμοδιότητας ΙΝΕΠ.|RespA
14.0|ηη. Η συνδρομή και διευκόλυνση των αρμοδίων οργάνων κοινοτικών και εθνικών ελέγχων των εκτελούμενων  έργων με την παροχή στοιχείων φυσικού αντικειμένου  των έργων αρμοδιότητας ΙΝΕΠ.|RespA
14.0|θθ. Η ευθύνη σύνταξης των εισηγήσεων προς το ΔΣ  του Ε.Κ.Δ.Δ.Α. για θέματα αρμοδιότητας του ΙΝΕΠ προκειμένου να εγκριθούν και να υποβληθούν μέσω του  Διευθυντή του Ινστιτούτου.|RespA
14.0|ιι. Ο έλεγχος των πάσης φύσεως διοικητικών εγγράφων  και πράξεων αρμοδιότητας του ΙΝΕΠ που υποβάλλονται  προς έγκριση από το Διευθυντή του Ινστιτούτου.|RespA
14.0|ιαια. Η ευθύνη εποπτείας της εφαρμογής των διοικητικών αποφάσεων που εκδίδονται από οποιοδήποτε  όργανο διοίκησης του Ε.Κ.Δ.Δ.Α. και αφορούν το ανθρώπινο δυναμικό του ΙΝΕΠ.|RespA
14.0|ιβιβ. Η προετοιμασία, ο σχεδιασμός και η διαμόρφωση  προτάσεων υποβολής έργου αρμοδιότητας ΙΝΕΠ και  η διαβίβασή τους στο Τμήμα Συγχρηματοδοτούμενων  Προγραμμάτων προκειμένου να αποτυπωθούν σε επίπεδο Τεχνικού Δελτίου, για ένταξη τους ως έργα Εθνικών  ή Ευρωπαϊκών Επιχειρησιακών Προγραμμάτων.|RespA
14.0|ιγιγ. Η παροχή όλων των απαιτούμενων στοιχείων  προς το Τμήμα Συγχρηματοδοτούμενων Προγραμμάτων  για τη διενέργεια όλων των απαιτούμενων διαδικασιών  έγκαιρης χρηματοδότησης των έργων του ΙΝΕΠ ιδιδ. Η ευθύνη αποστολής υλικού αρμοδιότητας του  ΙΝΕΠ προς το Αυτοτελές Τμήμα Επικοινωνίας, Διεθνών  και Δημοσίων Σχέσεων, ύστερα από σχετική έγκριση  του Διευθυντή του ΙΝΕΠ, προκειμένου να καταχωρηθεί  στο δικτυακό τόπο του ΕΚΔΔΑ, καθώς επίσης η τυχόν  αξιοποίησή του στις έντυπες εκδόσεις του Κέντρου και  την εν γένει δημοσιοποίησή του.|RespA
14.0|2. Τμήμα Συντονισμού Περιφερειακών Ινστιτούτων  Επιμόρφωσης Στην αρμοδιότητα του ως άνω Τμήματος, το οποίο υπάγεται απ’ ευθείας στον Αναπληρωτή Διευθυντή του ΙΝΕΠ  με αρμοδιότητα το συντονισμό των ΠΙΝΕΠ, υπάγονται:|Org
14.0|αα. Η εποπτεία παρακολούθησης του σχεδιασμού,  προετοιμασίας και τήρησης του χρονοδιαγράμματος  υλοποίησης των προγραμμάτων ευθύνης των Περιφερειακών Ινστιτούτων Επιμόρφωσης, σε συνεργασία  με τους ανά ΠΙΝΕΠ και ΙΝΕΠ Υπευθύνους Σπουδών και  Έρευνας.|RespA
14.0|ββ. Η ευθύνη για την εξασφάλιση της ορθής διοίκησης, παρακολούθησης και ελέγχου της εκτέλεσης και  παραλαβής των υλοποιούμενων έργων από τα ΠΙΝΕΠ,  ως προς το φυσικό τους αντικείμενο.|RespA
14.0|γγ. Η διαμόρφωση προτάσεων προς τον Αναπληρωτή  Διευθυντή του ΙΝΕΠ με ευθύνη συντονισμού των ΠΙΝΕΠ  για την ανάληψη νομικών και οικονομικών δεσμεύσεων  των υλοποιούμενων έργων αρμοδιότητας των ΠΙΝΕΠ,|RespA
14.0|δδ. Η σύνταξη περιοδικών εκθέσεων και αναφορών  προόδου φυσικού αντικειμένου των υλοποιούμενων έργων αρμοδιότητας ΠΙΝΕΠ και η προετοιμασία πληροφοριών και εκθέσεων, οποτεδήποτε ζητηθούν από τις  αρμόδιες αρχές.|RespA
14.0|εε. Η τήρηση αντιγράφου του φακέλου με στοιχεία  φυσικού αντικειμένου των υλοποιούμενων έργων αρμοδιότητας των ΠΙΝΕΠ, με παραστατικά και δικαιολογητικά  στοιχεία φυσικού αντικειμένου ανά υποέργο.|RespA
14.0|στστ. Η τήρηση των σχετικών διατάξεων για την Πληροφόρηση και Δημοσιότητα των υλοποιούμενων έργων  αρμοδιότητας ΠΙΝΕΠ.|RespA
14.0|ζζ. Η συνδρομή και διευκόλυνση των αρμοδίων οργάνων κοινοτικών και εθνικών ελέγχων των υλοποιούμενων  έργων με την παροχή στοιχείων φυσικού αντικειμένου  των έργων αρμοδιότητας των ΠΙΝΕΠ.|RespA
14.0|ηη. Η ευθύνη σύνταξης των εισηγήσεων προς το ΔΣ  του Ε.Κ.Δ.Δ.Α. για θέματα αρμοδιότητας των ΠΙΝΕΠ προκειμένου να εγκριθούν από τον Αναπληρωτή Διευθυντή  ΙΝΕΠ με ευθύνη συντονισμού των ΠΙΝΕΠ και να υποβληθούν στο ΔΣ μέσω του Διευθυντή του Ινστιτούτου.|RespA
14.0|θθ. Ο έλεγχος των πάσης φύσεως διοικητικών εγγράφων και πράξεων αρμοδιότητας των ΠΙΝΕΠ που υποβάλλονται προς έγκριση από τον Αναπληρωτή Διευθυντή  του Ινστιτούτου.|RespA
14.0|ιι. Η ευθύνη εποπτείας της εφαρμογής των διοικητικών  αποφάσεων που εκδίδονται από οποιοδήποτε όργανο  διοίκησης του Ε.Κ.Δ.Δ.Α. και αφορούν το ανθρώπινο δυναμικό των ΠΙΝΕΠ.|RespA
14.0|ιαια. Η συνεργασία με το προσωπικό των ΠΙΝΕΠ για  την προετοιμασία, το σχεδιασμό και τη διαμόρφωση  προτάσεων υποβολής έργων, προκειμένου να εγκριθούν  από τον Αναπληρωτή Διευθυντή ΙΝΕΠ και να διαβιβαστούν στο Τμήμα Συγχρηματοδοτούμενων Προγραμμάτων για την αποτύπωσή τους σε επίπεδο Τεχνικού  Δελτίου και ένταξή τους σε έργα Εθνικών ή Ευρωπαϊκών  Επιχειρησιακών Προγραμμάτων.|RespA
14.0|ιβιβ. Η υποστήριξη της αλληλογραφίας μεταξύ των  υπηρεσιών της Κεντρικής Υπηρεσίας του Ε.Κ.Δ.Δ.Α. και  των ΠΙΝΕΠ και τήρηση εισερχομένων – εξερχομένων  εγγράφων που αφορούν θέματα αρμοδιότητας των  ΠΙΝΕΠ.|RespA
14.0|ιγιγ. Η επεξεργασία του προτεινομένου προγραμματισμού των ΠΙΝΕΠ και των υποβαλλόμενων απολογισμών  των επιμορφωτικών δράσεων που υλοποιούν με σκοπό  την τήρηση στατιστικών στοιχείων και δεικτών.|RespA
14.0|ιδιδ. Η επεξεργασία των προτάσεων για προμήθειες  υλικών και εξοπλισμού ανά ΠΙΝΕΠ με σκοπό τη διαμόρφωση του συνολικού προγραμματισμού τους.|RespA
14.0|ιειε. Η συνεργασία με τα Περιφερειακά Ινστιτούτα για  τον συντονισμό και προώθηση των διοικητικών θεμάτων  που τα αφορούν.|RespA
14.0|ιστιστ. Η ευθύνη αποστολής υλικού αρμοδιότητας των  ΠΙΝΕΠ προς το Αυτοτελές Τμήμα Επικοινωνίας, Διεθνών  και Δημοσίων Σχέσεων, ύστερα από σχετική έγκριση  του Αναπληρωτή Διευθυντή του ΙΝΕΠ, προκειμένου να  καταχωρηθεί στο δικτυακό τόπο του ΕΚΔΔΑ., καθώς  επίσης η τυχόν αξιοποίησή του στις έντυπες εκδόσεις  του Κέντρου και την εν γένει δημοσιοποίησή του.|RespA
14.0|3. Τμήμα Διοικητικής και Εκπαιδευτικής Υποστήριξης Στην αρμοδιότητα του ως άνω Τμήματος υπάγονται:|Org
14.0|αα. Η τήρηση αρχείου εισερχομένων και εξερχομένων  εγγράφων καθώς και η διαχείριση της αλληλογραφίας  του ΙΝ.ΕΠ.|RespA
14.0|ββ. Η τήρηση αρχείου φορέων της Δημόσιας Διοίκησης και της Τοπικής Αυτοδιοίκησης.|RespA
14.0|γγ. Η μέριμνα για την ενημέρωση των φορέων περί  των επιμορφωτικών θεματικών πεδίων και των διαδικασιών συμμετοχής στα επιμορφωτικά προγράμματα  του ΙΝ.ΕΠ.|RespA
14.0|δδ. Η επιμέλεια της έκδοσης βεβαιώσεων απασχόλησης για το Κύριο και Βοηθητικό Διδακτικό Προσωπικό.|RespA
14.0|εε. Η εποπτεία του προσωπικού οργανωτικής στήριξης  και των μελών του Βοηθητικού Διδακτικού Προσωπικού  και η διάθεσή του για την αποτελεσματική οργάνωση και υλοποίηση των επιμορφωτικών δράσεων του  ΙΝ.ΕΠ.|RespA
14.0|στστ. Για κάθε επιμορφωτικό πρόγραμμα, η έγκαιρη  συλλογή και ο έλεγχος του φακέλου με όλα τα απαραίτητα έντυπα και αναγκαία παραστατικά που αφορούν  στη τεκμηρίωση της υλοποίησης και των δαπανών του  προγράμματος. Αποστολή τους στην Διεύθυνση Οικονομικού του Ε.Κ.Δ.Δ.Α. για την εξόφλησή τους και στο Τμήμα  Συντονισμού του ΙΝ.ΕΠ για τη τήρηση του αρχείου.|RespA
14.0|ζζ. Η καταχώριση στο Ολοκληρωμένο Πληροφοριακό Σύστημα του Ε.Κ.Δ.Δ.Α. των ωρών απασχόλησής των μελών  Κύριου Διδακτικού Προσωπικού και η συλλογή των απαραίτητων δικαιολογητικών που σχετίζονται με την επαγγελματική ιδιότητά τους, προκειμένου να προωθηθούν προς  το Τμήμα Εκκαθαρίσεων και Πληρωμών της Διεύθυνσης  Οικονομικού του Ε.Κ.Δ.Δ.Α. για την εκκαθάριση, έκδοση των  καταστάσεων πληρωμών και την εξόφλησή τους.|RespA
14.0|ηη. Η έκδοση των βεβαιώσεων και πιστοποιητικών παρακολούθησης των συμμετεχόντων στα επιμορφωτικά  προγράμματα του ΙΝ.ΕΠ θθ. Η καταχώριση στο Ολοκληρωμένο Πληροφοριακό  Σύστημα του Ε.Κ.Δ.Δ.Α. και η επιβεβαίωση όλων των  σχετικών δεδομένων και των φυσικών δεικτών των επιμορφωτικών προγραμμάτων ιι. Η μέριμνα για την αναπαραγωγή του αναγκαίου  εκπαιδευτικού υλικού και προετοιμασία και διανομή των  φακέλων των επιμορφούμενων.|RespA
14.0|ιαια. Η προετοιμασία προτάσεων για προμήθειες υλικών και εξοπλισμού και η διαχείριση του υλικού του  ΙΝ.ΕΠ. (παραλαβή, φύλαξη, εσωτερική κατανομή, καταγραφή και απογραφή κάθε είδους υλικού).|RespA
14.0|ιβιβ. Η ευθύνη της οργανωτικής υποστήριξης της Εκπαιδευτικής Επιτροπής Εκπαίδευσης.|RespA
14.0|ιγιγ. Η ευθύνη της προετοιμασίας των αιθουσών του  Ε.Κ.Δ.Δ.Α. για τα προγράμματα του ΙΝ.ΕΠ.|RespA
14.0|ιδιδ. Η παροχή των απαραίτητων στοιχείων προς το  Τμήμα Προϋπολογισμού της Διεύθυνσης Οικονομικού  για τη σύνταξη του οικονομικού απολογισμού προγραμμάτων που χρηματοδοτούνται πλήρως από τους ενδιαφερόμενους φορείς.|RespA
14.0|4. Τμήμα Επαγγελματικής Σταδιοδρομίας Αποφοίτων  Ε.Σ.Δ.Δ. και Ε.Σ.Τ.Α.|Org
14.0|Στις αρμοδιότητες του Τμήματος υπάγονται:|Org
14.0|αα. Η ανίχνευση των αναγκών σε γνώσεις και δεξιότητες των αποφοίτων Ε.Σ.Δ.Δ. και ΕΣΤΑ στις υπηρεσίες,  στις οποίες έχουν τοποθετηθεί.|RespA
14.0|ββ. Ο σχεδιασμός και η υλοποίηση, σε ετήσια βάση,  προγραμμάτων επανεκπαίδευσης των αποφοίτων  Ε.Σ.Δ.Δ. και ΕΣΤΑ και η αξιολόγηση προτάσεων για  υλοποίηση σχετικών προγραμμάτων.|RespA
14.0|γγ. Η τήρηση του Μητρώου Αποφοίτων Ε.Σ.Δ.Δ. και  ΕΣΤΑ και η επεξεργασία στατιστικών στοιχείων.|RespA
14.0|δδ. Η διοργάνωση συνεδρίων, συναντήσεων που σχετίζονται με την επανεκπαίδευση των αποφοίτων Ε.Σ.Δ.Δ.|RespA
14.0|και ΕΣΤΑ και η συμμετοχή σε προγράμματα ανταλλαγών  στο εξωτερικό.|RespA
14.0|εε. Η συστηματική και διαρκής ενημέρωση των αποφοίτων Ε.Σ.Δ.Δ. και ΕΣΤΑ για θέματα του ενδιαφέροντός  τους.|RespA
14.0|στστ. Η τήρηση αρχείου νομοθεσίας που αναφέρεται  στους αποφοίτους Ε.Σ.Δ.Δ. και ΕΣΤΑ.|RespA
14.0|ζζ. Η σύνταξη εκθέσεων αξιολόγησης των προγραμμάτων επανεκπαίδευσης των αποφοίτων Ε.Σ.Δ.Δ. και  ΕΣΤΑ.|RespA
14.0|ηη. Η εισήγηση για τη βελτίωση του προγράμματος  επανεκπαίδευσης και για την καλύτερη αξιοποίηση των  αποφοίτων Ε.Σ.Δ.Δ. και ΕΣΤΑ στη Δημόσια Διοίκηση.|RespA
14.0|Γ. Έργο των Π.ΙΝ.ΕΠ.|Irrelevant
14.0|1. Τα Π.ΙΝ.ΕΠ. υπαγόμενα ως προς τη διοίκησή στον  Αναπληρωτή Διευθυντή ΙΝΕΠ με αρμοδιότητα το συντονισμό των ΠΙΝΕΠ:|RespA
14.0|α. Έχουν την ευθύνη ανίχνευσης των αναγκών των  υπηρεσιών της περιφέρειάς τους, καθώς και την ευθύνη  οργάνωσης και υλοποίησης των σχετικών επιμορφωτικών δράσεων.|RespA
14.0|β. Ενημερώνουν τους φορείς της περιοχής τους για  τις δράσεις του Ε.Κ.Δ.Δ.Α. και τα επιμορφωτικά προγράμματα του ΠΙΝΕΠ.|RespA
14.0|γ. Δημιουργούν και τηρούν ανελλιπώς ενημερωμένο  αρχείο των υπηρεσιών των δημοσίων φορέων και των  Ο.Τ.Α. της περιοχής τους.|RespA
14.0|δ. Δημιουργούν και τηρούν ανελλιπώς ενημερωμένο  αρχείο των εκπαιδευτικών υποδομών των δημοσίων  φορέων και των Ο.Τ.Α. της περιοχής τους ε. Συνεργάζονται με τα Τμήματα. και το επιστημονικό  προσωπικό του ΙΝ.ΕΠ για την εφαρμογή μεθόδων, διαδικασιών, προτύπων, καθώς και για την πρόταση και  συμμετοχή σε έρευνες και μελέτες.|RespA
14.0|στ. Συνεργάζονται με το Τμήμα Συντονισμού των ΠΙΝΕΠ. για όλα τα θέματα προσωπικού, προμηθειών και  λοιπών λειτουργικών αναγκών των ΠΙΝΕΠ καθώς και  για θέματα προγραμματισμού των δράσεων που υλοποιούν.|RespA
14.0|ζ. Η έκδοση των βεβαιώσεων και πιστοποιητικών παρακολούθησης των συμμετεχόντων στα επιμορφωτικά  προγράμματα των ΠΙΝΕΠ.|RespA
14.0|η. Έχουν την ευθύνη αξιολόγησης των αποτελεσμάτων των επιμορφωτικών προγραμμάτων αρμοδιότητάς  τους.|RespA
14.0|θ. Υποστηρίζουν την τήρηση και διαρκή ενημέρωση  του αρχείου των εισηγητών της περιοχής τους, οι οποίοι  είναι ενταγμένοι στα Μητρώα Διδακτικού Προσωπικού  του Ε.Κ.Δ.Δ.Α. και μεριμνούν για τον εμπλουτισμό του  με βάση τις σχετικές διαδικασίες.|RespA
14.0|ι. Έχουν την ευθύνη υλοποίησης κάθε άλλης, εκτός  των ανωτέρω, δραστηριότητας αρμοδιότητας ΙΝΕΠ η  οποία τους ανατίθεται με απόφαση του Αναπληρωτή  Διευθυντή ΙΝΕΠ.|RespA
14.0|2. Το αμιγώς εκπαιδευτικό – ερευνητικό έργο των ΠΙΝΕΠ υποστηρίζεται από το επιστημονικό προσωπικό,  Υπευθύνους Σπουδών και Έρευνας που υπηρετεί στα  ΠΙΝΕΠ, οι οποίοι διοικητικά υπάγονται στον Αναπληρωτή  Διευθυντή του ΙΝΕΠ και συνίσταται:|RespA
14.0|α. Στη συνεργασία του με τους φορείς της Αποκεντρωμένης Διοίκησης, της Τοπικής Αυτοδιοίκησης και  του ευρύτερου δημόσιου τομέα της διοικητικής Περιφέρειας αρμοδιότητας κάθε ΠΙΝΕΠ με στόχο την ανίχνευση και καταγραφή εκπαιδευτικών αναγκών, τη σχεδίαση  και την υλοποίηση δράσεων επιμόρφωσης.|RespA
14.0|β. Στη διαμόρφωση προτάσεων για την ανάπτυξη  επιμορφωτικών δράσεων στη διοικητική Περιφέρεια  αρμοδιότητας κάθε ΠΙΝΕΠ.|RespA
14.0|γ. Στο σχεδιασμό, στην επιστημονική προετοιμασία,  στη γενική εποπτεία υλοποίησης και στην αξιολόγηση  των επιμορφωτικών δράσεων που υλοποιούν, συμπεριλαμβανομένης της αξιολόγησης του διδακτικού προσωπικού και των επιμορφούμενων. Για το λόγο αυτό  το επιστημονικό προσωπικό των ΠΙΝΕΠ συνεργάζεται,  όποτε απαιτείται, με τα στελέχη του επιστημονικού  προσωπικού του ΙΝΕΠ δ. Η συμμετοχή του επιστημονικού προσωπικού στις  διαδικασίες πιστοποίησης των επιμορφωτικών προγραμμάτων και των επιμορφούμενων,|RespA
14.0|ε. Στη σύνταξη προτάσεων μέτρων βελτίωσης της  αποτελεσματικότητας των επιμορφωτικών δράσεων  αρμοδιότητάς τους.|RespA
14.0|στ. Στην υποβολή προτάσεων για εκπόνηση ερευνών  και μελετών και για συμμετοχή σε αυτές.|RespA
14.0|ζ. Στη συμμετοχή τους με το λοιπό επιστημονικό προσωπικό του ΙΝΕΠ στη μελέτη, σχεδίαση και τυποποίηση  μεθόδων και διαδικασιών για τη συστηματική και αποτελεσματική οργάνωση των πάσης φύσεως εργασιών  εκπαίδευσης και κατάρτισης του ΠΙΝΕΠ η. Στη συμμετοχή τους, με το λοιπό επιστημονικό προσωπικό του ΙΝΕΠ, στη σχεδίαση και πραγματοποίηση  ερευνών και μελετών σχετικών με την ανάπτυξη του  ανθρώπινου δυναμικού της δημόσιας διοίκησης, στην  ανίχνευση εκπαιδευτικών αναγκών και στην αξιολόγηση των επιμορφωτικών δράσεων, στη σύνταξη προδιαγραφών για την ανάπτυξη εκπαιδευτικού υλικού και  εκπαιδευτικού λογισμικού, καθώς και των πάσης φύσεως  εντύπων των ΠΙΝΕΠ θ. Στη συμμετοχή τους, με το λοιπό επιστημονικό  προσωπικό του ΙΝΕΠ, στο συνολικό σχεδιασμό του προγραμματισμού, στην παρακολούθηση της εξέλιξης και  του απολογισμού των ενεργειών που εκτελούνται στο  πλαίσιο της αποστολής κάθε ΠΙΝΕΠ.|RespA
14.0|ι. Στη συμμετοχή στις διαδικασίες πιστοποίησης των  προγραμμάτων και των καταρτιζόμενων στα επιμορφωτικά προγράμματα.|RespA
14.0|3. Στις αρμοδιότητες της Γραμματείας Διοικητικής  και Εκπαιδευτικής υποστήριξης εκάστου ΠΙΝΕΠ υπάγονται:|Org
14.0|α. Η τήρηση αρχείου εισερχομένων και εξερχομένων  εγγράφων καθώς και η διαχείριση της αλληλογραφίας  του ΠΙΝ.ΕΠ.|RespA
14.0|β. Η τήρηση αρχείου φορέων της Δημόσιας Διοίκησης  και της Τοπικής Αυτοδιοίκησης.|RespA
14.0|γ. Η μέριμνα για την ενημέρωση των φορέων περί  των επιμορφωτικών θεματικών πεδίων και των διαδικασιών συμμετοχής στα επιμορφωτικά προγράμματα  του ΠΙΝ.ΕΠ.|RespA
14.0|δ. Η επιμέλεια της έκδοσης βεβαιώσεων απασχόλησης για το Κύριο και Βοηθητικό Διδακτικό Προσωπικό  εφόσον αφορούν αποκλειστικά απασχόληση για προγράμματα του οικείου ΠΙΝΕΠ.|RespA
14.0|ε. Η εποπτεία του προσωπικού οργανωτικής στήριξης  και των μελών του Βοηθητικού Διδακτικού Προσωπικού  και η διάθεσή τους για την αποτελεσματική οργάνωση και  υλοποίηση των επιμορφωτικών δράσεων του ΠΙΝ.ΕΠ.|RespA
14.0|στ. Για κάθε επιμορφωτικό πρόγραμμα, η έγκαιρη συλλογή και ο έλεγχος του φακέλου με όλα τα απαραίτητα έντυπα και αναγκαία παραστατικά που αφορούν  στη τεκμηρίωση της υλοποίησης και των δαπανών του  προγράμματος. Αποστολή τους στην Διεύθυνση Οικονομικού του Ε.Κ.Δ.Δ.Α. για την εξόφληση των σχετικών  δαπανών και στο Τμήμα Συντονισμού του ΙΝ.ΕΠ για τη  τήρηση του αρχείου.|RespA
14.0|ζ. Η καταχώριση στο Ολοκληρωμένο Πληροφοριακό Σύστημα του Ε.Κ.Δ.Δ.Α. των ωρών απασχόλησής των μελών  Κύριου Διδακτικού Προσωπικού και η συλλογή των απαραίτητων δικαιολογητικών που σχετίζονται με την επαγγελματική ιδιότητά τους, προκειμένου να προωθηθούν προς  το Τμήμα Εκκαθαρίσεων και Πληρωμών της Διεύθυνσης  Οικονομικού του Ε.Κ.Δ.Δ.Α. για την εκκαθάριση, έκδοση των  καταστάσεων πληρωμών και την εξόφλησή τους.|RespA
14.0|η. Η έκδοση των βεβαιώσεων και πιστοποιητικών παρακολούθησης των συμμετεχόντων στα επιμορφωτικά  προγράμματα του οικείου ΠΙΝ.ΕΠ θ. Η καταχώριση στο Ολοκληρωμένο Πληροφοριακό  Σύστημα του Ε.Κ.Δ.Δ.Α. και η επιβεβαίωση όλων των  σχετικών δεδομένων και των φυσικών δεικτών των επιμορφωτικών προγραμμάτων ι. Η μέριμνα για την αναπαραγωγή του αναγκαίου  εκπαιδευτικού υλικού και προετοιμασία και διανομή των  φακέλων των επιμορφούμενων.|RespA
14.0|ια. Η προετοιμασία προτάσεων για προμήθειες υλικών  και εξοπλισμού και η διαχείριση του υλικού του ΠΙΝ.ΕΠ.|RespA
14.0|(παραλαβή, φύλαξη, εσωτερική κατανομή, καταγραφή  και απογραφή κάθε είδους υλικού).|RespA
14.0|ιβ. Η ευθύνη της προετοιμασίας των αιθουσών του  ΠΙΝΕΠ. για τα προγράμματά του.|RespA
14.0|ιγ. Η παροχή των απαραίτητων στοιχείων προς το  Τμήμα Προϋπολογισμού της Διεύθυνσης Οικονομικού  για τη σύνταξη του οικονομικού απολογισμού προγραμμάτων που χρηματοδοτούνται πλήρως από τους ενδιαφερόμενους φορείς.|RespA
15.0|Κατηγορίες−Κλάδοι−Βαθμοί 1. Οι θέσεις του μόνιμου προσωπικού του Εθνικού Κέντρου Δημόσιας Διοίκησης και Αυτοδιοίκησης (Κεντρική  Υπηρεσία και Περιφερειακά Ινστιτούτα Επιμόρφωσης)  κατανέμονται κατά κατηγορίες και κλάδους ως εξής:|RespA
16.0|Αναδιάρθρωση Θέσεων Α. Μεταφορά υφιστάμενων κενών οργανικών θέσεων  από υφιστάμενους κλάδους σε άλλους υφιστάμενους ή  νέους κλάδους της ίδιας ή άλλης κατηγορίας.|RespA
16.0|1. Στον Κλάδο ΠΕ Διοικητικού−Οικονομικού μεταφέρονται οι εξής θέσεις:|Positions
16.0|α. Δυο (2) κενές θέσεις του κλάδου ΥΕ Βοηθητικού  Προσωπικού (Κεντρική Υπηρεσία) μεταφέρονται στον  υφιστάμενο κλάδο ΠΕ Διοικητικού−Οικονομικού (Κεντρική Υπηρεσία).|Positions
16.0|β. Μια (1) κενή θέση του κλάδου ΥΕ Προσωπικού Καθαριότητος (ΠΙΝΕΠ Νοτίου Αιγαίου) μεταφέρεται στον  υφιστάμενο κλάδο ΠΕ Διοικητικού – Οικονομικού (Κεντρική Υπηρεσία).|Positions
16.0|γ. Δύο (2) κενές θέσεις του κλάδου ΥΕ Προσωπικού  Καθαριότητος (ΠΙΝΕΠ Πελοποννήσου) μεταφέρονται  στον υφιστάμενο κλάδο ΠΕ Διοικητικού – Οικονομικού  (Κεντρική Υπηρεσία).|Positions
16.0|δ. Μια (1) κενή θέση του κλάδου ΔΕ Προσωπικού Η/Υ  (ΠΙΝΕΠ Βορείου Αιγαίου) μεταφέρεται στον υφιστάμενο  κλάδο ΠΕ Διοικητικού – Οικονομικού (ΠΙΝΕΠ Βορείου  Αιγαίου).|Positions
